                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1923,                0.93847,                 1.2684,                 0.5014,                0.27576,                0.24243,                0.15212,                    nan,                    nan,                    nan,               0.067559,             0.00032768,             0.00032768
                      2,                   1.14,                0.90067,                 1.1957,                0.44211,                 0.2697,                 0.2351,                0.14227,                    nan,                    nan,                    nan,               0.034553,             0.00065447,             0.00065447
                      3,                 1.1313,                0.90576,                 1.1962,                0.42043,                0.28485,                0.27539,                0.17901,                    nan,                    nan,                    nan,              0.0015396,             0.00097466,             0.00097466
                      4,                 1.1326,                0.94357,                 1.2011,                0.58766,                0.30909,                0.35346,                0.21529,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1587,                0.91942,                 1.1917,                0.67596,                0.32424,                 0.3825,                0.24601,                    nan,                    nan,                    nan,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.0974,                0.85251,                 1.1755,                0.66146,                0.28485,                 0.3531,                0.22902,                    nan,                    nan,                    nan,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.0772,                 0.8577,                 1.1685,                0.51471,                0.29091,                0.29451,                0.19533,                    nan,                    nan,                    nan,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1305,                0.99897,                 1.1875,                0.54396,                0.25455,                 0.2682,                0.17754,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1244,                 0.9331,                 1.2093,                0.43788,                0.33636,                0.29904,                0.18917,                    nan,                    nan,                    nan,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0857,                0.84002,                 1.1604,                0.50914,                0.30909,                0.29635,                0.19076,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.0933,                0.86043,                 1.1725,                0.52492,                0.33333,                0.35633,                0.22473,                    nan,                    nan,                    nan,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0749,                0.83174,                 1.1542,                0.67774,                0.27879,                0.33695,                0.21093,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                     13,                 1.0934,                0.81598,                 1.1765,                0.50732,                0.27879,                0.30728,                0.19896,                    nan,                    nan,                    nan,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1831,                0.91663,                 1.2275,                0.43268,                0.30303,                0.29251,                0.18902,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.1241,                0.85737,                 1.1739,                0.53581,                0.23333,                0.24014,                0.15829,                    nan,                    nan,                    nan,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0815,                0.83859,                 1.1766,                0.57852,                0.26667,                0.31014,                0.20147,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.0417,                0.80965,                 1.1543,                0.68245,                0.29697,                0.37053,                0.23769,                    nan,                    nan,                    nan,              0.0008515,              0.0008515,              0.0008515
                     18,                  1.037,                0.78403,                 1.1382,                0.55514,                0.29091,                0.30447,                0.18853,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     19,                  1.032,                0.77531,                 1.1355,                0.52063,                    0.3,                 0.2761,                0.18338,                    nan,                    nan,                    nan,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.0361,                0.78644,                 1.1507,                0.49964,                0.31515,                0.33948,                0.22029,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0448,                0.78087,                   1.13,                0.66939,                0.26061,                0.31558,                0.21494,                    nan,                    nan,                    nan,              0.0008119,              0.0008119,              0.0008119
                     22,                 0.9788,                0.73937,                 1.1187,                0.51985,                0.29091,                0.26748,                0.17336,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     23,                 1.0032,                0.73184,                 1.1286,                0.49969,                0.30606,                0.32479,                0.21062,                    nan,                    nan,                    nan,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0103,                0.75339,                 1.1469,                0.55193,                0.27273,                0.28186,                0.18789,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0073,                0.71752,                 1.1135,                0.53262,                0.26667,                0.29895,                0.19991,                    nan,                    nan,                    nan,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0112,                0.74788,                 1.1403,                0.52782,                0.25758,                0.29928,                 0.1945,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.013,                0.72901,                 1.1322,                0.57865,                0.29697,                0.33125,                0.22529,                    nan,                    nan,                    nan,              0.0007525,              0.0007525,              0.0007525
                     28,                0.97502,                0.69626,                 1.1017,                0.69314,                0.29434,                0.36459,                  0.236,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
