               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10936,            0.038825,                   0,            0.087577,            0.084848,            0.034308,           0.0088305,            0.091365,            0.027917,                   0,            0.070508,           0.0032768,           0.0032768
                   1,            0.083211,            0.042615,                   0,             0.11032,             0.16667,             0.05074,            0.013776,            0.078152,            0.028607,                   0,            0.040443,           0.0065447,           0.0065447
                   2,            0.075023,            0.038715,                   0,              0.2216,             0.28182,              0.1985,            0.063692,            0.072686,            0.023685,                   0,            0.010312,           0.0097466,           0.0097466
                   3,            0.069448,            0.036616,                   0,             0.27689,             0.32424,             0.20181,            0.053709,            0.073142,              0.0242,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.064005,            0.033498,                   0,             0.50158,             0.38788,             0.39943,             0.14659,            0.060405,            0.021382,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.053277,            0.032435,                   0,             0.42381,             0.49697,             0.43126,             0.19566,            0.053004,            0.021824,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.049713,            0.031653,                   0,             0.63891,             0.57906,             0.59254,             0.28338,            0.046735,            0.020222,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.048999,            0.030175,                   0,             0.64734,             0.57293,             0.62489,              0.2598,            0.048555,            0.019835,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.047687,            0.030178,                   0,             0.66236,             0.59697,             0.64318,             0.27888,             0.04817,            0.020751,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.045221,            0.029703,                   0,             0.65999,             0.61173,             0.64733,             0.30252,            0.043758,            0.020606,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.043897,            0.029377,                   0,             0.67074,             0.67905,             0.69862,             0.36317,            0.043293,            0.019653,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.040872,            0.029061,                   0,             0.76084,             0.62727,             0.69787,             0.35358,            0.043053,            0.019749,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.041296,            0.029023,                   0,             0.75398,             0.66364,             0.73417,             0.40041,            0.039287,            0.019329,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.03805,            0.027476,                   0,             0.78772,             0.60303,             0.69523,              0.3867,             0.04086,            0.018993,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037177,            0.026557,                   0,             0.71813,             0.66364,             0.69278,             0.39228,            0.039094,            0.019346,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.039798,            0.025773,                   0,             0.77007,             0.61212,             0.69481,              0.3471,            0.043595,            0.018799,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.038242,            0.028642,                   0,             0.74966,             0.66667,             0.72936,             0.41204,            0.040359,            0.018618,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036129,             0.02666,                   0,             0.76186,             0.63016,             0.71993,             0.39071,            0.041184,            0.018573,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038137,            0.027549,                   0,             0.73406,             0.62121,             0.70801,             0.38368,            0.041835,            0.018273,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.036053,            0.026641,                   0,              0.7484,             0.66061,             0.71389,             0.37703,            0.041173,            0.018479,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.036642,            0.026968,                   0,             0.74281,             0.64848,             0.72407,             0.40715,            0.038229,            0.019442,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.035177,            0.026157,                   0,             0.74443,             0.69091,             0.75119,              0.4214,            0.038064,            0.018736,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034559,            0.025326,                   0,             0.77178,             0.66061,             0.74106,             0.42767,            0.037467,            0.018668,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033728,            0.024818,                   0,             0.82579,             0.65455,             0.76274,             0.44155,            0.038043,             0.01905,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033526,            0.024095,                   0,             0.72334,             0.72121,             0.76158,              0.4069,            0.040825,            0.019117,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.035534,            0.025596,                   0,              0.7729,             0.62121,             0.70644,             0.39845,            0.039749,            0.018914,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.033657,            0.025327,                   0,             0.75633,             0.70542,             0.75877,             0.41857,            0.038714,             0.01838,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.03367,            0.025559,                   0,             0.78173,             0.66061,             0.74031,             0.43335,            0.037617,            0.019009,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.034011,            0.024535,                   0,             0.75084,             0.65455,             0.71807,             0.39049,            0.040423,            0.020123,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.032307,            0.024517,                   0,             0.76813,             0.64247,             0.72685,             0.41787,            0.038528,            0.019738,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.032296,            0.024002,                   0,             0.74031,             0.68182,              0.7102,             0.38977,            0.041829,            0.020318,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.033198,            0.023169,                   0,             0.76654,             0.69649,             0.72853,             0.44486,            0.037619,            0.018934,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03159,            0.023367,                   0,             0.82349,             0.63617,             0.73238,             0.44262,            0.037303,            0.018791,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.031359,            0.023414,                   0,             0.72511,             0.73541,             0.75374,             0.45729,            0.037308,            0.018299,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030635,            0.022193,                   0,             0.76507,             0.68182,              0.7496,             0.43654,            0.038143,            0.019122,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.031854,            0.023986,                   0,              0.8156,             0.66061,             0.73846,              0.4033,            0.039493,            0.019812,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.031596,            0.021841,                   0,             0.76646,             0.71604,             0.75324,             0.44817,            0.037226,            0.019154,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.030658,            0.022608,                   0,             0.79839,             0.67273,             0.75192,             0.44147,            0.037324,            0.019233,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.03004,            0.021875,                   0,               0.785,              0.6697,             0.76903,             0.45278,            0.037227,            0.019318,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.030346,            0.023587,                   0,             0.77625,             0.67576,              0.7603,             0.45043,            0.037138,             0.01953,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028561,            0.022637,                   0,             0.77399,             0.71212,             0.76552,             0.44312,             0.03745,            0.019281,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030543,            0.022606,                   0,             0.79091,             0.70303,             0.77058,             0.46455,            0.036512,            0.018647,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028213,            0.021461,                   0,             0.82255,             0.67879,             0.77434,             0.46077,            0.036972,            0.018516,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028386,            0.021616,                   0,              0.7102,             0.70303,             0.72773,             0.43809,            0.036777,            0.019358,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028749,             0.02145,                   0,             0.79706,             0.65758,             0.74195,             0.44616,            0.036208,            0.019517,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028193,            0.020406,                   0,             0.80893,             0.69394,             0.76385,             0.45707,            0.036514,            0.019382,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027359,            0.020483,                   0,             0.80644,             0.64388,             0.74877,             0.44107,            0.036998,            0.019829,                   0,            0.005545,            0.005545,            0.005545
                  47,              0.0279,            0.020537,                   0,             0.79164,             0.68182,             0.74929,             0.45212,            0.037045,            0.019679,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027943,            0.020237,                   0,             0.82333,             0.66364,             0.76347,             0.47445,            0.036333,            0.019422,                   0,            0.005347,            0.005347,            0.005347
