               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097674,            0.027732,                   0,            0.002517,             0.71154,           0.0078595,           0.0022797,            0.058594,            0.010802,                   0,            0.070462,           0.0032821,           0.0032821
                   1,            0.077709,            0.023213,                   0,           0.0023129,             0.65385,            0.018834,            0.003279,            0.057783,           0.0070808,                   0,            0.040396,           0.0065499,           0.0065499
                   2,             0.07258,            0.021414,                   0,           0.0029252,             0.82692,            0.046063,           0.0098124,            0.052923,           0.0075107,                   0,            0.010265,           0.0097517,           0.0097517
                   3,            0.070062,            0.020789,                   0,           0.0031973,             0.90385,             0.18064,             0.02946,            0.051418,           0.0077282,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.063752,            0.020589,                   0,            0.055807,             0.65385,             0.13725,            0.026761,            0.049457,           0.0082138,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.057156,            0.021209,                   0,             0.23865,             0.57692,              0.2881,            0.072235,            0.044826,           0.0079185,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05356,            0.020184,                   0,             0.37514,             0.65385,             0.37559,            0.084394,            0.040105,           0.0068552,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050763,             0.01994,                   0,             0.33938,             0.61538,             0.37654,             0.11299,            0.038399,           0.0064222,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.048272,            0.018084,                   0,             0.44515,             0.65385,             0.57654,             0.16572,            0.036019,           0.0064179,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048237,            0.016991,                   0,             0.41928,             0.55769,             0.37238,            0.099336,            0.042779,           0.0065282,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.047262,            0.017185,                   0,             0.50442,             0.71154,             0.54279,             0.16812,            0.033674,           0.0066237,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045552,            0.015761,                   0,             0.59895,                 0.5,             0.58863,             0.21144,            0.034099,           0.0061469,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043343,            0.015074,                   0,             0.73226,                0.75,             0.74774,               0.297,            0.027792,           0.0060841,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.042677,            0.014289,                   0,             0.71167,             0.71154,             0.73564,             0.27439,            0.034123,           0.0053012,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041477,            0.013419,                   0,             0.79221,             0.73324,             0.83581,             0.34089,            0.032323,           0.0057068,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041031,             0.01356,                   0,             0.82072,             0.82692,             0.83676,             0.32365,            0.032522,           0.0059614,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039981,            0.013144,                   0,               0.858,             0.80769,             0.84632,             0.33703,            0.031554,           0.0052071,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04015,            0.012315,                   0,             0.87917,             0.83963,             0.86833,             0.37897,            0.028323,           0.0053371,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.040318,            0.012454,                   0,             0.82274,             0.78846,             0.78957,             0.33357,            0.029004,           0.0061111,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.040368,            0.012338,                   0,             0.88373,             0.78846,             0.85116,             0.37587,            0.031828,           0.0047079,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.038626,            0.011997,                   0,             0.86903,             0.82692,             0.83584,             0.36643,            0.031124,           0.0044249,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.037105,            0.012196,                   0,             0.83892,             0.80132,             0.80208,             0.35028,            0.026057,            0.004785,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.036202,            0.011426,                   0,             0.83127,             0.75802,             0.81885,             0.40793,            0.026929,           0.0048083,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035503,            0.011856,                   0,             0.83865,             0.82692,             0.84355,             0.41837,            0.029177,           0.0045947,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.036467,            0.010826,                   0,             0.81904,             0.82692,             0.80877,             0.35893,            0.029333,           0.0048151,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.036099,            0.011122,                   0,             0.89971,             0.84615,             0.86808,             0.41095,            0.030173,           0.0043203,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.036299,            0.011127,                   0,             0.77383,             0.67308,             0.64228,             0.24533,            0.034051,           0.0059051,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.035197,            0.011987,                   0,              0.7964,             0.78846,              0.7974,             0.36437,            0.027754,           0.0047006,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.034171,            0.011022,                   0,             0.88823,             0.80769,             0.88118,             0.39659,            0.027155,           0.0045813,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033645,            0.011042,                   0,             0.87428,              0.8025,             0.84942,             0.42988,            0.026475,           0.0040233,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.03361,            0.010901,                   0,             0.77408,             0.76923,              0.8305,             0.43667,            0.025786,           0.0043414,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.033409,            0.010717,                   0,             0.82289,             0.84615,             0.84017,             0.38468,            0.027423,           0.0042157,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.032884,            0.010853,                   0,             0.89145,             0.84615,             0.87143,             0.41826,             0.02668,           0.0045705,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.033216,            0.010709,                   0,             0.79801,             0.78846,              0.8048,             0.34381,            0.030146,           0.0041798,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.032568,            0.010619,                   0,             0.88007,             0.84674,              0.8805,             0.45812,               0.025,           0.0040275,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.032175,            0.010327,                   0,             0.89851,             0.85135,             0.90072,             0.41849,            0.024655,           0.0038153,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.032161,            0.010274,                   0,             0.83701,             0.78846,             0.86146,             0.41797,            0.029631,           0.0038848,                   0,            0.006535,            0.006535,            0.006535
